"Name of country","Within","Borders"
"Slovenia","Europe","Austria / Croatia / Hungary / Italy","*Atlantic Ocean / Adriatic Sea"
"Solomon Islands","Oceania","","Pacific Ocean"
"Somalia","Africa","Djibouti / Ethiopia / Kenya","Indian Ocean / Gulf of Aden"
"South Africa","Africa","Botswana / Lesotho / Mozambique / Namibia / Swaziland / Zimbabwe","Atlantic Ocean / Indian Ocean"
"South Sudan","Africa","Central African Republic / Congo, Democratic Republic of the / Ethiopia / Kenya / Sudan / Uganda",""
"Spain","Europe / *Africa","Andorra / France / *Morocco / Portugal / *United Kingdom (Gibraltar)","Atlantic Ocean / Mediterranean Sea"
"Sri Lanka","Asia","","Indian Ocean"
"Sudan","Africa","Central African Republic / Chad / Egypt / Eritrea / Ethiopia / Libya / South Sudan","*Indian Ocean / Red Sea"
"Suriname","South America","Brazil / France / Guyana","Atlantic Ocean"
"Swaziland","Africa","Mozambique / South Africa",""
"Sweden","Europe","Finland / Norway","*Atlantic Ocean / Baltic Sea"
"Switzerland","Europe","Austria / France / Germany / Italy / Liechtenstein",""
"Syria","Middle East","Iraq / Israel / Jordan / Lebanon / Turkey","Atlantic Ocean / Mediterranean Sea"
"Taiwan","Asia","","Pacific Ocean / East China Sea / South China Sea"
"Tajikistan","Asia","Afghanistan / China / Kyrgyzstan / Uzbekistan",""
"Tanzania","Africa","Burundi / Congo, Democratic Republic of the / Kenya / Malawi / Mozambique / Rwanda / Uganda / Zambia","Indian Ocean"
"Thailand","Southeast Asia","Cambodia / Laos / Malaysia / Myanmar","Indian Ocean / *Pacific Ocean / South China Sea"
"Togo","Africa","Benin / Burkina Faso / Ghana","Atlantic Ocean / Gulf of Guinea"
"Tonga","Oceania","","Pacific Ocean"
"Trinidad and Tobago","Caribbean","","Atlantic Ocean / Caribbean Sea"
"Tunisia","Africa","Algeria / Libya","*Atlantic Ocean / Mediterranean Sea"
"Turkey","Europe","Armenia / Azerbaijan / Bulgaria / Georgia / Greece / Iran / Iraq / Syria","*Atlantic Ocean / Mediterranean Sea / Aegean Sea / Marmara Sea / Black Sea"
"Turkmenistan","Asia","Afghanistan / Iran / Kazakhstan / Uzbekistan","Caspian Sea"
"Tuvalu","Oceania","","Pacific Ocean"
"Uganda","Africa","Congo, Democratic Republic of the / Kenya / Rwanda / South Sudan / Tanzania",""
"Ukraine","Europe","Belarus / Hungary / Moldova / Poland / Romania / Russia / Slovakia","*Atlantic Ocean / Black Sea"
"United Arab Emirates","Middle East","Oman / Saudi Arabia","*Indian Ocean / Persian Gulf"
"United Kingdom","Europe","Ireland","Atlantic Ocean"
"United States","North America","Canada / Mexico","Arctic Ocean / Atlantic Ocean / Pacific Ocean / Gulf of Mexico"
"Uruguay","South America","Argentina / Brazil","Atlantic Ocean"
"Uzbekistan","Asia","Afghanistan / Kazakhstan / Kyrgyzstan / Tajikistan / Turkmenistan",""
"Vanuatu","Oceania","","Pacific Ocean"
"Vatican City","Europe","Italy",""
"Venezuela","South America","Brazil / Colombia / Guyana","Atlantic Ocean / Caribbean Sea"
"Vietnam","Southeast Asia","Cambodia / China / Laos","Pacific Ocean / South China Sea"
"Yemen","Middle East","Oman / Saudi Arabia","*Indian Ocean / Arabian Sea / Gulf of Aden / Red Sea"
"Zambia","Africa","Angola / Botswana / Congo, Democratic Republic of the / Malawi / Mozambique / Namibia / Tanzania / Zimbabwe",""
"Zimbabwe","Africa","Botswana / Mozambique / South Africa / Zambia",""
